name,adapter,slug,coverage_priority,is_public_listed,seed_source,notes,careers_url
Accenture,workday,accenture:wd103:AccentureCareers,2,false,ats-detection,Largest private employer in Ireland,
Amazon,amazon,IRL,2,false,bespoke,Bespoke careers platform; country=IRL filter,
Google,google,"Dublin, Ireland",2,false,bespoke,No public API; careers page is server-rendered,
Intel,workday,intel:wd1:External,2,false,ats-detection,Leixlip and Dublin sites,
Pfizer,workday,pfizer:wd1:PfizerCareers,2,false,ats-detection,Irish manufacturing and commercial,
Workday,workday,workday:wd5:Workday,2,false,ats-detection,Dublin EMEA HQ,
Deloitte Ireland,workday,deloitteie:wd3:Early_Careers,2,false,ats-detection,Irish member firm,
Cairn Homes,workday,cairnhomes:wd502:External,1,true,euronext-dublin,ISEQ listed,
Uniphar,workday,uniphar:wd3:uniphar_external_careers,1,true,euronext-dublin,ISEQ listed,
Fenergo,workable,fenergocareers,1,false,ats-detection,Irish regtech scale-up,
Stripe,greenhouse,stripe,2,false,manual,Large Dublin engineering and operations site,
Intercom,greenhouse,intercom,2,false,manual,Founded in Dublin,
Datadog,greenhouse,datadog,2,false,manual,Dublin EMEA office,
MongoDB,greenhouse,mongodb,2,false,manual,Dublin office,
Elastic,greenhouse,elastic,2,false,manual,Distributed with Irish roles,
Toast,greenhouse,toast,2,false,manual,Dublin office,
Riot Games,greenhouse,riotgames,3,false,manual,Dublin office,
Airbnb,greenhouse,airbnb,2,false,manual,Dublin EMEA HQ,
Figma,greenhouse,figma,3,false,manual,,
Klaviyo,greenhouse,klaviyo,2,false,manual,Dublin office,
Twilio,greenhouse,twilio,2,false,manual,Dublin office,
Asana,greenhouse,asana,3,false,manual,,
Vercel,greenhouse,vercel,3,false,manual,,
Qualtrics,greenhouse,qualtrics,3,false,manual,Dublin office,
Dropbox,greenhouse,dropbox,3,false,manual,Dublin EMEA HQ,
Amplitude,greenhouse,amplitude,3,false,manual,,
Udemy,greenhouse,udemy,3,false,manual,Dublin office,
Tines,greenhouse,tines,1,false,manual,Irish cybersecurity scale-up,
Flipdish,greenhouse,flipdish,1,false,manual,Irish scale-up,
Learnupon,greenhouse,learnupon,1,false,manual,Irish scale-up,
Notion,ashby,notion,3,false,manual,,
Ramp,ashby,ramp,3,false,manual,,
Confluent,ashby,confluent,3,false,manual,,
Miro,ashby,miro,3,false,manual,,
Mural,ashby,mural,3,false,manual,,
Wayflyer,ashby,wayflyer,1,false,manual,Irish fintech scale-up,
Workhuman,ashby,workhuman,1,false,manual,Irish HQ in Dublin,
Evervault,ashby,evervault,1,false,manual,Irish security startup,
Spotify,lever,spotify,3,false,manual,Dublin office,
Dunnes Stores,oleeo,dunnes.tal.net|3,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.dunnesstores.com/careers
Grant Thornton Ireland,oracle_recruiting,ehzq.fa.us2.oraclecloud.com|GrantThorntonIrelandExperiencedHires,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.grantthornton.ie/
BNY Mellon,oracle_recruiting,eofe.fa.us2.oraclecloud.com|BNY-Careers,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.bny.com/corporate/global/en.html
PM Group,icims,professionalapply-pmgroup-global,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.pmgroup-global.com/careers/jobs
Designer Group,workable,designer-group-1,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://apply.workable.com/designer-group-1/j/19FB921376
ESB,successfactors,careers.esb.ie,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://esb.ie/careers
Susquehanna,icims,careers.sig.com,2,false,curated,careers site fronts this board; read whole for Ireland instead of sampled as JSON-LD,https://careers.sig.com/jobs
West Pharmaceutical,successfactors,careers.westpharma.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.westpharma.com/careers
Ethos Engineering,jsonld,https://careers.ethoseng.ie/,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.ethoseng.ie/
Walkers Ireland,successfactors,careers.walkersglobal.com,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.walkersglobal.com/en/Join-Us
Byrne Wallace,bamboohr,byrnewallaceshields,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://byrnewallace.com/careers/
EirGrid,candidatemanager,YGTAZW|BEVDEV,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.eirgrid.ie/careers
eBay,workday,ebay:wd5:apply,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.ebayinc.com/
Eurofins,smartrecruiters,Eurofins,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.eurofins.com
Bearingpoint Ireland,greenhouse,bearingpoint,3,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://www.bearingpoint.com/en/careers/
Dell Technologies,oracle_recruiting,enterpriseplatform.dell.com|careers,1,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers
Phorest,teamtailor,careers.phorest.com,2,false,recovered,Registered by the 2026-09-13 registry run; lost when state moved off Neon,https://careers.phorest.com/
SAP,successfactors,careers.sap.com|Ireland,1,false,curated,jobs.sap.com is a new site with few roles; the rest stay on careers.sap.com; searched for Ireland,https://careers.sap.com/search/?locationsearch=Ireland
